rank,uri,artist_names,track_name,source,peak_rank,weeks_on_chart,streams,country
1,spotify:track:7ABLbnD53cQK00mhcaOUVG,Myke Towers,LALA,WEA Latina,1,5,4680448,argentine
2,spotify:track:3oNnzH6hmqIGIhJ1NcHlrh,Maria Becerra,CORAZÓN VACÍO,WEA Latina,1,5,4206591,argentine
3,spotify:track:1Hs1uUl8o2VtDp1DABFq0O,LIT killah Tiago PZK Maria Becerra Duki Emilia Rusherking Big One FMK,Los del Espacio,WEA Latina,1,8,3976197,argentine
4,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,Quevedo,Columbia,Quevedo,4,3,3794110,argentine
5,spotify:track:3tiJUOfAEqIrLFRQgGgdoY,Big One FMK Ke Personajes,Un Finde | CROSSOVER #2,Fifty One,1,17,3523118,argentine
6,spotify:track:0H9WU0OIXPpbOVgzzOanXb,BM,Ni Una Ni Dos,DALE PLAY Records / Wesaisons Records,6,4,3066661,argentine
7,spotify:track:5FWQLEX0lavdxiWGBNkBQ4,Tiago PZK TINI,Me Enteré,WEA Latina,4,10,2808476,argentine
8,spotify:track:2iIBpwP4FyQ95xgVail3yr,Emilia LUDMILLA ZECCA,No_se_ve.mp3,2023 WK Records,5,12,2573562,argentine
9,spotify:track:7w7BrPbOjF5OxChs2dxFve,Big One Emilia Callejero Fino,En La Intimidad | CROSSOVER #1,Fifty One,1,25,2308350,argentine
10,spotify:track:2UW7JaomAMuX9pZrjVpHAU,Yng Lvcas Peso Pluma,La Bebe - Remix,WM Mexico,2,18,2214705,argentine
11,spotify:track:6jRZ33ifS5VOTMwmPxhPhN,Luck Ra La K'onga Ke Personajes,Ya No Vuelvas (Versión Cuarteto),Sony Music Entertainment Chile S.A,1,34,2191640,argentine
12,spotify:track:6r0TaoZh1Oc1KkuL4rC1kB,Nicki Nicole Milo j,DISPARA ***,Sony Music Latin/DALE PLAY Records,9,10,2141780,argentine
13,spotify:track:1AX4aybSRyXHWrjg27wTFE,Ke Personajes Onda Sabanera,Pobre Corazón - En Vivo,Ke Personajes,2,21,2129052,argentine
14,spotify:track:5w7RsSgxxBwdVTSyQDj8Bi,The La Planta BM Alejo Isakk Locura Mix,DISCOTEKA (feat. Locura Mix),NES Play,14,21,2075316,argentine
15,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,Feid Young Miko,CLASSY 101,UMLE - Latino,5,17,2029399,argentine
16,spotify:track:3WndNMJo029mMO64l9hGFm,Mesita,Dale Mecha,Turbo Diesel Records,14,12,1908629,argentine
17,spotify:track:7JB29gnUowzSGRdIpeVqRQ,BM Callejero Fino La Joaqui Lola Indigo,M.A - Remix,DALE PLAY Records / Wesaisons Records,2,16,1857033,argentine
18,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,Grupo Frontera Bad Bunny,un x100to,Rimas Entertainment LLC.,3,15,1837152,argentine
19,spotify:track:2bNCiY24Eh4saMcc23bvUN,Maria Becerra,ADIÓS,300 Entertainment,4,33,1745839,argentine
20,spotify:track:7ro0hRteUMfnOioTFI5TG1,Bad Bunny,WHERE SHE GOES,Rimas Entertainment LLC,14,10,1728345,argentine
21,spotify:track:5iDNf2uMgRzmQpcmGAzOUk,Anuel AA Quavo DJ Luian Mambo Kingz,Baby,Hear This Music LLC GLAD Empire LLC & Real Hasta La Muerte LLC,21,2,1540830,argentine
22,spotify:track:5AqiaZwhmC6dIbgWrD5SzV,Bizarrap Peso Pluma,Peso Pluma: Bzrp Music Sessions Vol. 55,DALE PLAY Records,2,9,1516167,argentine
23,spotify:track:0RpL1pOALdN5E4Ci1tYG1y,Maria Becerra Fast & Furious: The Fast Saga,Te Cura,APG Inc – FF10,16,10,1511460,argentine
24,spotify:track:3qQbCzHBycnDpGskqOWY0E,Eslabon Armado Peso Pluma,Ella Baila Sola,DEL Records,6,16,1511094,argentine
25,spotify:track:5AAb8GlTnCwkhBTJxw6F90,Duki KHEA Bizarrap,Remember Me,DALE PLAY Records / SSJ Records,17,2,1509895,argentine
26,spotify:track:1eIDsKCLwZF6CJK8pOgHX5,BM Phontana,M.A (Mejores Amigos),Wesaisons Records,2,38,1479388,argentine
27,spotify:track:6CIMoDfTsvFVGhFi3v9Izn,Alan Gomez Luck Ra,Luck Ra | Mission 15,WM Chile,25,10,1478088,argentine
28,spotify:track:7xX7bER73YZSE4m76OpMXV,FMK Emilia,Salgo a Bailar,Sony Music Entertainment Chile S.A,28,2,1433796,argentine
29,spotify:track:7MVIfkyzuUmQ716j8U7yGR,Taiu Milo j,Rara Vez,Universal Music Argentina S.A.,3,24,1431783,argentine
30,spotify:track:6HT88WDVwEJiHEbPuQ5XcB,Damas Gratis Ke Personajes,Costumbres - Vivo,Pelo Music S.A.,21,36,1424713,argentine
31,spotify:track:4JdSXF2p71cr8uCY3UiJM0,Yahritza Y Su Esencia Grupo Frontera,Frágil,Lumbre Music/Columbia,29,13,1403782,argentine
32,spotify:track:5UcWUgWfR2Ir0EXSb1EpoM,Nicki Nicole Young Miko,8 AM,Sony Music Latin/DALE PLAY Records,30,10,1372382,argentine
33,spotify:track:3ezO8gfskSWM3rk0GTfhFl,Emanero Ulises Bueno Migrantes Los Palmeras,ATORRANTE - con Los Palmeras,Fifty One,33,3,1324098,argentine
34,spotify:track:7HdEUquZzUzPjgSllvlJGl,Luck Ra La T y La M Rusherking,Quiero Creer,Sony Music Entertainment Chile S.A,11,25,1284031,argentine
35,spotify:track:0zIA89ERtLoWZF8zMYgWoL,DJ Tao BM,BM | DJ TAO Turreo Sessions #17,WM Chile,35,8,1283503,argentine
36,spotify:track:1fKFxmSByZfjwVSbq0PHye,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,Ke Personajes,18,98,1265496,argentine
37,spotify:track:2iNmegOcdmt4peYrh9S8qI,Emilia,Jagger.mp3,Sony Music Latin,8,17,1256947,argentine
38,spotify:track:0ccUrj1mliFnR8R8VxCmKO,Ke Personajes La Contra,Otro Día Más,Ke Personajes,32,38,1256532,argentine
39,spotify:track:0vUqiSvbUICW3YtTA5ecSX,Miranda! Maria Becerra FMK,Perfecta (Versión 2023),Sony Music Argentina,8,15,1256120,argentine
40,spotify:track:1DxEbt6OSbrkRthk6pjZue,LiL CaKe Migrantes Nico Valdi,MERCHO,Sony Music Argentina,4,28,1231983,argentine
41,spotify:track:1PSlMgsJ0V7pUeumk13fbs,Tiago PZK ZECCA,ASQUEROSO,WEA Latina,41,2,1222003,argentine
42,spotify:track:04ndZkbKGthTgYSv3xS7en,TINI,Cupido,5020 Records,4,24,1193600,argentine
43,spotify:track:2NFadq6pUeiVEihLvUlOSr,Bizarrap Rauw Alejandro,Rauw Alejandro: Bzrp Music Sessions Vol. 56,DALE PLAY Records,7,6,1190570,argentine
44,spotify:track:7x9aauaA9cu6tyfpHnqDLo,Jung Kook Latto,Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,44,2,1182508,argentine
45,spotify:track:3eOkhJYDaTELGhWHBNbf4A,Milo j,AL BORDE,DALE PLAY Records,30,15,1147650,argentine
46,spotify:track:4FAKtPVycI4DxoOHC01YqD,Yandel Feid,Yandel 150,La Leyenda LLC,7,29,1110595,argentine
47,spotify:track:5LsvrplQ7YCK4ROg4gym9a,Grupo Frontera Ke Personajes,OJITOS ROJOS,Grupo Frontera,47,1,1110110,argentine
48,spotify:track:4PMi46eDFyLmHKKtVTrDGb,Milo j,Rincón,DALE PLAY Records,28,3,1098024,argentine
49,spotify:track:21N77gfWYoQDvrLvaeiQgi,Rauw Alejandro Bizarrap,BABY HELLO,Sony Music Latin/Duars Entertainment,40,5,1015344,argentine
50,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,KAROL G Shakira,TQG,Universal Music Latino,2,22,944086,argentine
51,spotify:track:0RD94y2DlYTzEePb4WuVbU,Nicki Nicole Rels B,qué le pasa conmigo?,Sony Music Latin/DALE PLAY Records,27,14,898781,argentine
52,spotify:track:7CIhIJ7ekWwmbsnUxNvILc,Duki Jhayco,RoCKSTAR 2.0,DALE PLAY Records / SSJ Records,10,6,886574,argentine
53,spotify:track:7aPsseax6rNFyipHn9A5CR,Luck Ra BM,La Morocha,Sony Music Entertainment Chile S.A,53,3,869755,argentine
54,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,1,59,862984,argentine
55,spotify:track:0T2pB7P1VdXPhLdQZ488uH,Feid,Normal,UMLE - Latino,31,55,853811,argentine
56,spotify:track:36wXX340N9sSUgvRe74Q3t,Duki,antes de perderte (OG VERSION),DALE PLAY Records / SSJ Records,22,5,839940,argentine
57,spotify:track:0J9g1MMJDhyvOb3NWckHMm,Bad Gyal Tokischa Young Miko,Chulo pt.2,Universal Music Latino/Interscope,57,4,781261,argentine
58,spotify:track:45dlaEXrXW47TVbrQ4gK7E,Rei Callejero Fino,Tu Turrito,DALE PLAY Records,2,64,763630,argentine
59,spotify:track:4WiQA1AGWHFvaxBU6bHghs,Quevedo,PUNTO G,Quevedo,5,38,753430,argentine
60,spotify:track:0hvsOvo1zARlNnmHNhrxIF,Ke Personajes,Adiós Amor / Oye Mujer,Ke Personajes,49,35,752049,argentine
61,spotify:track:4L2v8fOruCUk2wbXC0PKHt,Nicki Nicole YSY A,CAEN LAS ESTRELLAS,Sony Music Latin/DALE PLAY Records,35,10,746484,argentine
62,spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,UMLE - Latino,20,47,740474,argentine
63,spotify:track:6k5wiT5l9DK8iZmhvEvoqo,Brray Jhayco Ryan Castro,Corazón Roto - Remix,UMLE - Latino,63,5,739250,argentine
64,spotify:track:1zsPaEkglFvxjAhrM8yhpr,Ozuna Feid,Hey Mor,Aura Music Corp.,8,41,724889,argentine
65,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,Bizarrap Quevedo,Quevedo: Bzrp Music Sessions Vol. 52,DALE PLAY Records,1,56,715809,argentine
66,spotify:track:7mMmRGHCrxF8T3opGtrpHh,BM Phontana,Ven Mami,Wesaisons Records,57,24,711647,argentine
67,spotify:track:4PA1wK0leCjmRZlP5dQ8Lv,Sky Rompiendo Feid Myke Towers,El Cielo,Sony Music Latin,31,8,680965,argentine
68,spotify:track:51FvjPEGKq2zByeeEQ43V9,Marshmello Manuel Turizo,El Merengue,Sony Music Latin,35,21,673329,argentine
69,spotify:track:609E1JCInJncactoMmkDon,ROSALÍA Rauw Alejandro,BESO,Columbia Records/Duars Entertainment/Sony Music Latin,10,18,661835,argentine
70,spotify:track:7bPp2NmpmyhLJ7zWazAXMu,Peso Pluma Grupo Frontera,TULUM,Double P Records,70,4,651941,argentine
71,spotify:track:4Rs4ijFlNvhJ2fuRFNCH9h,MYA La K'onga,MYA LIVE P2: Corazón Guerrero,Sony Music Entertainment Chile S.A,71,6,646963,argentine
72,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,Bizarrap Shakira,Shakira: Bzrp Music Sessions Vol. 53,DALE PLAY Records,1,29,643820,argentine
73,spotify:track:4yPmTUkWmUfLPQLCccp0DR,TINI La Joaqui Steve Aoki,Muñecas,5020 Records,2,28,635159,argentine
74,spotify:track:7lLc3W3Yb2vGOrkuK0N0XH,Salastkbron Alejo Isakk Gusty dj,La Chispa Es Una,WEA Latina,68,11,628974,argentine
75,spotify:track:6ebo7CQn4ILLGvXRmXHhQz,TINI Maria Becerra,Miénteme,5020 Records,1,117,625033,argentine
76,spotify:track:2x8oBuYaObjqHqgGuIUZ0b,WOS,ARRANCARMELO,DOGUITO Records / DALE PLAY Records,2,69,624793,argentine
77,spotify:track:4rBQxFVwTnf99p818azSon,Maria Becerra,DESAFIANDO EL DESTINO,300 Entertainment,61,28,617997,argentine
78,spotify:track:0Iozrbed8spxoBnmtBMshO,Quevedo,WANDA,Quevedo,38,27,617722,argentine
79,spotify:track:2vEY9OdhUx7oFOjcbmIrwt,Gusty dj Lolo OG DobleP,El Motorcito - Remix,GUSTY DJ,70,11,610428,argentine
80,spotify:track:6UR1k5NGqgNGzgVmMtT768,El Jordan 23 Los Patos Feos Inc Nes,Cabaña,Los Patos Feos Inc under exclusive license to BZR Music LLC,80,2,609486,argentine
81,spotify:track:6Vp8EcHAHjC9u7Qnsn2kob,ECKO Callejero Fino El Perro,Te Escapas De Mis Brazos (Remix),WM Chile,11,21,606061,argentine
82,spotify:track:0NO2zL0kw8sGGnaMvHKAZF,Cris Mj Duki Nicki Nicole Standly Stars Music Chile,Marisola - Remix,Virgin Music Chile,2,32,599012,argentine
83,spotify:track:3KZCP2StVGdWkOKyRZNWA4,Plan B,Es un Secreto,Pina Records,83,37,597977,argentine
84,spotify:track:0poQY3RMThmIiutOGv3yH3,Maria Becerra,AUTOMÁTICO,300 Entertainment,4,46,594798,argentine
85,spotify:track:3fjN3y5x4hN53rykAN2LHQ,Rels B,cómo dormiste?,DALE PLAY Records / Flakk Team,4,51,585884,argentine
86,spotify:track:4eMKD8MRroxCqugpsxCCNb,Tainy Bad Bunny,MOJABI GHOST,NEON16 LLC,71,4,564625,argentine
87,spotify:track:5q86iSKkBtOoNkdgEDY5WV,Quevedo,VISTA AL MAR,Quevedo,10,46,564154,argentine
88,spotify:track:28BSTgZH1ckI8Xfy8LXaRz,Yandel Feid Daddy Yankee,Yankee 150,La Leyenda LLC,57,6,561521,argentine
89,spotify:track:10zSgbysU2KyVTrcRmtu62,Airbag,Por Mil Noches,Airbag,64,184,559592,argentine
90,spotify:track:6bLvfGI2XeU5DTl8feuNrk,Ke Personajes,Cómo estás,Ke Personajes,25,207,556679,argentine
91,spotify:track:5rGorQ0R06XveTJXMd3QRi,Rusherking Dread Mar I,Perfecta,Fifty One,5,43,556009,argentine
92,spotify:track:1DFDbSWdESvzWHHAe6BCQ3,La Delio Valdez,Inocente,Independent,41,132,555819,argentine
93,spotify:track:6LBpjWMfy1NUfyxAJbcMRs,La K'onga Nahuel Pennisi,Universo Paralelo,Leader Music,2,89,550221,argentine
94,spotify:track:0CYTGMBYkwUxrj1MWDLrC5,Feid,CHORRITO PA LAS ANIMAS,UMLE - Latino,28,32,547105,argentine
95,spotify:track:1v4ggzkdNysd77L7oJ6GmU,Ke Personajes,Disfruto,Ke Personajes,59,69,546805,argentine
96,spotify:track:6Z28dALKtAgZ7AZRfjMQjY,Big One Ulises Bueno Rusherking,Mentiras | CROSSOVER #3,Fifty One,96,1,541765,argentine
97,spotify:track:1rEsfHhBFTuTPekF8M5O3f,TINI,La Triple T,5020 Records,1,64,536595,argentine
98,spotify:track:3Gs7mVfWKl567mjozgxmXv,Feid Sean Paul,Niña Bonita,UMLE - Latino,42,14,536322,argentine
99,spotify:track:7onMf0QvWgRba2MRxG27yj,La K'onga,El Mismo Aire,Leader Music bajo licencia de INTI-MOLE S.R.L.,16,137,532283,argentine
100,spotify:track:5RlibNUdsaN2oPX9MWl52K,Maria Becerra,OJALÁ,300 Entertainment,2,61,531492,argentine
101,spotify:track:0PB0O24JqAuNdOAFVJljMS,Eladio Carrion Bad Bunny,Coco Chanel,Rimas Entertainment LLC,15,19,529520,argentine
102,spotify:track:4J1vAbtAhMdsdpO1sKU3EO,La T y La M,Pa’ la Selección,FaroLatino Music,3,32,522290,argentine
103,spotify:track:3k3NWokhRRkEPhCzPmV8TW,Bad Bunny Bomba Estéreo,Ojitos Lindos,Rimas Entertainment LLC,1,64,519090,argentine
104,spotify:track:4aEOz6ZpXh3wF4FOdJHOPV,Wolfine Ñejo,Escápate Conmigo - Remix,LOMIORECORDS,104,8,513365,argentine
105,spotify:track:7vFESQCFxuL38hNbTCtUDu,Milo j,Milagrosa,DALE PLAY Records,19,33,509619,argentine
106,spotify:track:3EcCc1U405tm8yKm1x6Y8W,La K'onga,Te Mentiría,Leader Music,14,114,507732,argentine
107,spotify:track:2qBirMakpTdz9ymxrZEyzg,Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,EMI Argentina,58,288,503733,argentine
108,spotify:track:7txjUEY6McJDJKqIo1Rxjp,Shakira,Acróstico,Sony Music Latin,15,11,501448,argentine
109,spotify:track:6YUYwOLhR01HusDZkttH7k,Los Ángeles Azules Nicki Nicole,Otra Noche,OCESA Seitrack,10,89,500771,argentine
110,spotify:track:0Sfn2TYbpQtCGMBf6C0Y6T,Quevedo Myke Towers,PLAYA DEL INGLÉS,Quevedo,19,32,499739,argentine
111,spotify:track:1dJhW3HRdLnySFEUhf6VRh,Milo j,MORNING,DALE PLAY Records,41,22,496399,argentine
112,spotify:track:0Dl34Kegtc0y0m0oPhQfiI,Maria Becerra,LA NENA DE ARGENTINA,300 Entertainment,22,33,494983,argentine
113,spotify:track:0crVjW9Jz8ktVuVXoUi187,Young Miko Jowell & Randy,ID,The Wave Music Group,113,7,493060,argentine
114,spotify:track:60DHrnRAhNJMy4WeEf23NH,La Joaqui Alan Gomez EL NOBA,Butakera,DALE PLAY Records / GOAT Records,6,51,491420,argentine
115,spotify:track:01QPvRIYC5QG9E3khE6P9M,Marshmello Tiago PZK,Como Yo :(,Sony Music Latin,51,5,490229,argentine
116,spotify:track:4xU4XeklG562EnanWzpY3A,Young Miko,wiggy,The Wave Music Group,116,1,489935,argentine
117,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,2,64,485266,argentine
118,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,118,2,483919,argentine
119,spotify:track:3J3yRkO999AgZT4LMum1Yc,El Villano BM Migrantes,Amigo Remix,Espantapájaros,119,1,479878,argentine
120,spotify:track:6U7yEVppOLVvWCKYnSAjC6,Milo j,Morocha,DALE PLAY Records,56,24,478698,argentine
121,spotify:track:7EpOXgSRgnglRWr86pZfGU,KAROL G,S91,Bichota/Interscope Records,119,2,476761,argentine
122,spotify:track:5L3ecxQnQ9qTBmnLQiwf0C,Travis Scott Bad Bunny The Weeknd,K-POP,Cactus Jack/Epic,122,1,475658,argentine
123,spotify:track:53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Columbia,3,52,475546,argentine
124,spotify:track:7GpSrZ9BAnu5l5ahjRS8KC,Duki Quevedo,don't liE,DALE PLAY Records / SSJ Records,29,5,471466,argentine
125,spotify:track:505v13epFXodT9fVAJ6h8k,KAROL G,AMARGURA,Universal Music Latino,100,10,470405,argentine
126,spotify:track:2LgxW2t2H6lAf7tJuOnxxj,Duki,Antes de Perderte,DALE PLAY Records / SSJ Records,7,60,469652,argentine
127,spotify:track:3oqWr0jDWNXxWufNogGREp,Gustavo Cerati,Crimen,Ariola,91,333,462552,argentine
128,spotify:track:2PkTjm1QAJCZbJ9MqC4RqA,Fito Paez,11 Y 6,EMI Argentina,65,55,457163,argentine
129,spotify:track:6BaE9YFxMmXVeo8vm33pdH,Luck Ra La K'onga,Bebe Dame,Sony Music Entertainment Chile S.A,81,13,456422,argentine
130,spotify:track:41VOCbJ4ronoGiRg4bWvV6,La T y La M Ke Personajes,Messirve Mix 5,TYM,40,32,455265,argentine
131,spotify:track:6d4d6cwiAf59mKxoRmXQoK,Babasónicos,Irresponsables,Pop Art,131,13,453016,argentine
132,spotify:track:4L6PEEISI0EWoKh8Wwtvuh,La Joaqui Alan Gomez,Amanecemos,DALE PLAY Records / GOAT Records,23,19,452699,argentine
133,spotify:track:2iVgM5C7m1G4CJGbms301G,Shakira Manuel Turizo,Copa Vacía,Sony Music Latin,79,4,452416,argentine
134,spotify:track:7M0mBls29IohQIPGqegcyE,Emilia Duki,como si no importara,Sony Music Latin,2,100,449622,argentine
135,spotify:track:4qXWX3OmEKp0YCnnxJqTMO,La Joaqui Salastkbron Gusty dj,Dos Besitos,DALE PLAY Records / GOAT Records,2,39,445207,argentine
136,spotify:track:5jt25aFjW2kNoBqaEVaz5W,Mora Feid,LA INOCENTE,Rimas Entertainment LLC,67,63,444482,argentine
137,spotify:track:1MB8kTH7VKvAMfL9SHgJmG,Sebastian Yatra Manuel Turizo Beéle,VAGABUNDO,UMLE - Latino,88,11,442874,argentine
138,spotify:track:65DBZofI0b79kfHTcWWDuU,Soda Stereo,Trátame Suavemente - Remasterizado 2007,Columbia,100,304,439005,argentine
139,spotify:track:2WFrChyI5KlmxunG45Sqws,La K'onga Matías Valdez,Latidos,Leader Music,101,27,434932,argentine
140,spotify:track:6MuJUSYCqA4FpMogUHzb2R,No Te Va Gustar,Ese Maldito Momento,Elefante Blanco,81,88,434282,argentine
141,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,95,18,434226,argentine
142,spotify:track:0CgpCtEPvyDizcg2p47VrU,No Te Va Gustar,A las Nueve,Elefante Blanco,71,239,425849,argentine
143,spotify:track:1vRkS74lAQEucagUBmUryC,LiL CaKe Ozuna Ryan Castro Migrantes Nico Valdi,MERCHO REMIX,Sony Music Argentina,76,4,425698,argentine
144,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,5,28,421208,argentine
145,spotify:track:1p7m9H4H8s0Y7SgRm7j3ED,Andrés Calamaro,Flaca,DRO/EastWest Spain,102,254,410525,argentine
146,spotify:track:44FzVABpR2cciquTqADA0D,Young Miko,Lisa,The Wave Music Group,44,20,409304,argentine
147,spotify:track:0ZAJ660VP57lLK4U7NlGOy,Intoxicados,Nunca quise,Pop Art,68,339,409085,argentine
148,spotify:track:28Jif9Yz9VDWKtp8j5RjEz,Duki C.R.O,hARAkiRI,DALE PLAY Records / SSJ Records,24,17,404404,argentine
149,spotify:track:6OzUIp8KjuwxJnCWkXp1uL,Wisin & Yandel ROSALÍA,Besos Moja2,Sony Music Latin,8,43,396042,argentine
150,spotify:track:0j2p4MTvu6tfrK8UsKLS31,DT.Bilardo Perro Primo DJ Cronox,6to Sentido (Una Vuelta),Hot Mama Records,150,3,393995,argentine
151,spotify:track:3s0CTts1TlRgJztG3gErvJ,Callejero Fino La Joaqui Alan Gomez,LATI2,DALE PLAY Records,93,9,393506,argentine
152,spotify:track:3N6rAKpPraBOZqn9RhSrz0,DJ Alex La Joaqui,TU AMOR | E7,DJ ALEX bajo licencia a DALE PLAY,10,44,392177,argentine
153,spotify:track:4cOtPoRkhDVxmr1gaB0hDi,Ke Personajes La T y La M,Ya Fue,Ke Personajes,73,32,387292,argentine
154,spotify:track:3fUZbg31mIJKIxuv8nUcGg,DJ Tao Callejero Fino,CALLEJERO FINO | DJ TAO Turreo Sessions #723,WM Chile,10,40,385757,argentine
155,spotify:track:6VAS7m73rDopQe7BdrFMpD,Bizarrap Tiago PZK,Tiago PZK: Bzrp Music Sessions Vol. 48,DALE PLAY Records,1,83,383110,argentine
156,spotify:track:1DTmxMoV47mkuTrSY2xkyl,Callejero Fino,Le doy perreo,Callejero Fino,34,30,380506,argentine
157,spotify:track:6tjz2ZCL2jmPY1jPsbRk2H,Miranda! Emilia,Uno los Dos,Sony Music Argentina,12,22,379698,argentine
158,spotify:track:3jqFGtyQtgxRgtFaoEAoac,Yami Safdie Micro TDH Rusherking,De Nada - Remix,WM Argentina,65,14,378664,argentine
159,spotify:track:1rh4kDY9T4fHVDum8Foi5k,Gustavo Cerati,Adiós,Ariola,134,55,378261,argentine
160,spotify:track:56gWw6TmEYzeMkunkQVXkc,BM,Polvito,DALE PLAY Records / Wesaisons Records,113,7,377951,argentine
161,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,6,69,377178,argentine
162,spotify:track:4aHc6XvgDFIdey7Y7D8lH4,Mau y Ricky La Joaqui,Ex (con La Joaqui),WEA Latina,162,1,374321,argentine
163,spotify:track:4TGwERXRlyQtBdggYTHo6j,Tiago PZK LIT killah Maria Becerra Nicki Nicole,Entre Nosotros (Remix) [con Nicki Nicole],WEA Latina,1,82,373034,argentine
164,spotify:track:1uK5rDY3BnikyG0sl3tPpc,Sofía Reyes Maria Becerra,Marte,WEA Latina,2,76,370270,argentine
165,spotify:track:3H5N7Lnvv64H3iae6InGLz,Duki Salastkbron,uNO dOS,DALE PLAY Records / SSJ Records,40,5,368739,argentine
166,spotify:track:3XjvMZqm2AQ8thMCD6w9w2,Anuel AA Mambo Kingz DJ Luian,Mas Rica Que Ayer,Real Hasta La Muerte LLC & Hear This Music LLC,29,21,367269,argentine
167,spotify:track:7vL8ZEvLOXXW9SiL9ulZRZ,Ke Personajes,Lo Que Me Duele / Y Que Pasó,Ke Personajes,115,27,366370,argentine
168,spotify:track:7IJZyhrttBYZAIwQxmPxuj,Lolo OG,Azote,Symproducciones365 - Uzziel,75,24,364596,argentine
169,spotify:track:0EhuGnOS6fTc5l5UNtDEH2,Saiko Quevedo Feid Mora,POLARIS - Remix,2023 Rimas Entertainment LLC.,121,7,364591,argentine
170,spotify:track:3jrn71DBQDQsenUUNspQwe,Maria Becerra Rafaga,ADIÓS (Live Version),300 Entertainment,55,17,361976,argentine
171,spotify:track:61qPUnazSdkvua4wgA4L8C,Babasónicos,Como Eran Las Cosas,Universal Music Argentina S.A.,146,23,360722,argentine
172,spotify:track:6otePxalBK8AVa20xhZYVQ,KAROL G,MIENTRAS ME CURO DEL CORA,Universal Music Latino,71,22,356571,argentine
173,spotify:track:2bbwjxA68m9PHZFWgF1fze,Duki,GIVENCHY,DALE PLAY Records / SSJ Records,2,54,354822,argentine
174,spotify:track:7iXJg4IUyrWont5YSQrbKP,Reik Maria Becerra,Los Tragos,Sony Music México,30,83,347554,argentine
175,spotify:track:38H5RjvcICmF10kJeZeyPM,YSY A Sixto Yegros BAXIAN SPONSOR DIOS,ESTA QUE QUEMA,Ysy A,49,5,347546,argentine
176,spotify:track:3ushwCdjpWNdSnZgRFU6Oc,Emilia,cuatro veinte,Sony Music Latin,4,70,343186,argentine
177,spotify:track:7exaYYNN99DHkbZuHOZWO3,Matías Valdez,Latidos,Montevideo Music Group,160,21,343115,argentine
178,spotify:track:5exsngywf8qMS6f00gKVWY,Patricio Rey y sus Redonditos de Ricota,Esa Estrella Era Mi Lujo,Patricio Rey Discos,159,5,341492,argentine
179,spotify:track:7upAH0ezzsThyvr33YKn4u,Turf,Pasos Al Costado,Pop Art,105,266,341395,argentine
180,spotify:track:03a359wbiUsjN9h6yzXvmS,Duki KHEA,She Don't Give a Fo,DALE PLAY Records,3,181,340794,argentine
181,spotify:track:26XTUfkLRnLR1W2XbjM9pf,La T y La M,En Otra,FaroLatino Music,181,1,339627,argentine
182,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Rimas Entertainment LLC,8,64,338898,argentine
183,spotify:track:67Q93kXygxCskeQiIP0V0j,Ciro y los Persas,Me Gusta,300 Producciones,71,335,338760,argentine
184,spotify:track:7cfJzUd54EOFRCw08o0KHp,TINI L-Gante,Bar,5020 Records,1,82,338090,argentine
185,spotify:track:6ifUES3keWjwXgae8pXI3o,Danny Ocean,Me Rehúso,Atlantic Records,1,153,337724,argentine
186,spotify:track:06s3QtMJVXw1AJX3UfvZG1,Anuel AA Bad Bunny,Hasta Que Dios Diga,2020 Real Hasta La Muerte LLC,7,65,337225,argentine
187,spotify:track:3HqcNJdZ2seoGxhn0wVNDK,KAROL G,PROVENZA,Universal Music Latino,9,64,335374,argentine
188,spotify:track:6gnt7XFossE7yfw229HJJF,Duki Lucho SSJ,01 dE ENEro,DALE PLAY Records / SSJ Records,31,5,333212,argentine
189,spotify:track:4eOGoAtYWRPQZ6mUwwgmuW,TINI,Las Jordans,5020 Records,39,19,333176,argentine
190,spotify:track:3jYFhbevv3MUctaEUF68Vf,Jere Klein,UNA EN UN MILLÓN,2023 JERE KLEIN,190,5,330624,argentine
